,n_steps
1221,9.0
1222,6.0
1223,5.0
1224,23.0
1225,19.0
1226,13.0
1227,4.0
1228,4.0
1229,8.0
1230,10.0
1231,9.0
1232,3.0
1233,7.0
1234,16.0
1235,6.0
1236,3.0
1237,14.0
1238,8.0
1239,7.0
1240,7.0
1241,6.0
1242,2.0
1243,5.0
1244,2.0
1245,16.0
1246,2.0
1247,7.0
1248,14.0
1249,13.0
1250,5.0
1251,10.0
1252,3.0
1253,9.0
1254,8.0
1255,11.0
1256,9.0
1257,5.0
1258,6.0
1259,9.0
1260,10.0
1261,5.0
1262,2.0
1263,6.0
1264,8.0
1265,3.0
1266,10.0
1267,2.0
1268,6.0
1269,15.0
1270,7.0
1271,8.0
1272,1.0
1273,11.0
1274,14.0
1275,5.0
1276,13.0
1277,8.0
1278,11.0
1279,7.0
1280,7.0
1281,3.0
1282,10.0
1283,8.0
1284,4.0
1285,13.0
1286,15.0
1287,15.0
1288,19.0
1289,15.0
1290,8.0
1291,3.0
1292,6.0
1293,24.0
1294,15.0
1295,10.0
1296,9.0
1297,7.0
1298,3.0
1299,9.0
1300,8.0
1301,5.0
1302,18.0
1303,3.0
1304,7.0
1305,12.0
1306,11.0
1307,15.0
1308,12.0
1309,10.0
1310,7.0
1311,12.0
1312,17.0
1313,8.0
1314,8.0
1315,20.0
1316,8.0
1317,8.0
1318,11.0
1319,7.0
1320,10.0
1321,8.0
1322,7.0
1323,7.0
1324,3.0
1325,18.0
1326,15.0
1327,26.0
1328,4.0
1329,11.0
1330,10.0
1331,20.0
1332,13.0
1333,27.0
1334,24.0
1335,5.0
1336,7.0
1337,7.0
1338,7.0
1339,12.0
1340,5.0
1341,4.0
1342,4.0
1343,11.0
1344,9.0
1345,9.0
1346,11.0
1347,10.0
1348,11.0
1349,8.0
1350,12.0
1351,6.0
1352,8.0
1353,10.0
1354,10.0
1355,4.0
1356,10.0
1357,6.0
1358,29.0
1359,6.0
1360,9.0
1361,7.0
1362,9.0
1363,9.0
1364,5.0
1365,8.0
1366,13.0
1367,6.0
1368,9.0
1369,3.0
1370,8.0
1371,7.0
1372,5.0
1373,7.0
1374,16.0
1375,4.0
1376,5.0
1377,6.0
1378,6.0
1379,5.0
1380,9.0
1381,6.0
1382,6.0
1383,3.0
1384,12.0
1385,10.0
1386,12.0
1387,12.0
1388,7.0
1389,6.0
1390,3.0
1391,6.0
1392,3.0
1393,21.0
1394,16.0
1395,8.0
1396,26.0
1397,3.0
1398,4.0
1399,6.0
1400,17.0
1401,7.0
1402,16.0
1403,11.0
1404,9.0
1405,8.0
1406,7.0
1407,3.0
1408,6.0
1409,8.0
1410,3.0
1411,17.0
1412,4.0
1413,15.0
1414,8.0
1415,13.0
1416,8.0
1417,11.0
1418,2.0
1419,8.0
1420,11.0
1421,24.0
1422,4.0
1423,9.0
1424,36.0
1425,6.0
1426,11.0
1427,7.0
1428,24.0
1429,8.0
1430,3.0
1431,5.0
1432,43.0
1433,18.0
1434,10.0
1435,22.0
1436,36.0
1437,18.0
1438,7.0
1439,18.0
1440,27.0
1441,7.0
1442,12.0
1443,4.0
1444,14.0
1445,5.0
1446,16.0
1447,9.0
1448,8.0
1449,13.0
1450,8.0
1451,17.0
1452,16.0
1453,2.0
1454,6.0
1455,7.0
1456,28.0
1457,7.0
1458,8.0
1459,9.0
1460,10.0
1461,5.0
1462,17.0
1463,13.0
1464,44.0
1465,10.0
1466,2.0
1467,9.0
1468,8.0
1469,11.0
1470,4.0
1471,3.0
1472,3.0
1473,4.0
1474,4.0
1475,1.0
1476,8.0
1477,12.0
1478,24.0
1479,3.0
1480,5.0
1481,4.0
1482,8.0
1483,5.0
1484,4.0
1485,22.0
1486,5.0
1487,3.0
1488,6.0
1489,4.0
1490,8.0
1491,11.0
1492,8.0
1493,4.0
1494,4.0
1495,4.0
1496,3.0
1497,4.0
1498,11.0
1499,4.0
1500,4.0
1501,5.0
1502,6.0
